Order_ID,Order_Date,Customer_Name,Country,Region,Product_Category,Product_Sub_Category,Product_Name,Sales
BN-2011-7407039,2011-01-01,Ruby Patel,Sweden,North,Office Supplies,Paper,"Enermax Note Cards, Premium",45
AZ-2011-9050313,2011-01-03,Summer Hayward,United Kingdom,North,Furniture,Bookcases,"Dania Corner Shelving, Traditional",854
AZ-2011-6674300,2011-01-04,Devin Huddleston,France,Central,Office Supplies,Art,"Binney & Smith Sketch Pad, Easy-Erase",140
BN-2011-2819714,2011-01-04,Mary Parker,United Kingdom,North,Office Supplies,Art,"Boston Markers, Easy-Erase",27
BN-2011-2819714,2011-01-04,Mary Parker,United Kingdom,North,Office Supplies,Storage,"Eldon Folders, Single Width",17
AZ-2011-617423,2011-01-05,Daniel Burke,France,Central,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Water Color",90
AZ-2011-617423,2011-01-05,Daniel Burke,France,Central,Office Supplies,Art,"Sanford Canvas, Fluorescent",207
AZ-2011-2918397,2011-01-07,Fredrick Beveridge,France,Central,Furniture,Bookcases,"Bush Floating Shelf Set, Pine",155
AZ-2011-2918397,2011-01-07,Fredrick Beveridge,France,Central,Office Supplies,Fasteners,"Accos Thumb Tacks, Assorted Sizes",33
AZ-2011-2918397,2011-01-07,Fredrick Beveridge,France,Central,Office Supplies,Storage,"Smead Lockers, Industrial",716
BN-2011-3248724,2011-01-08,Archer Hort,France,Central,Furniture,Bookcases,"Ikea Classic Bookcase, Metal",987
BN-2011-3248724,2011-01-08,Archer Hort,France,Central,Office Supplies,Art,"Binney & Smith Sketch Pad, Blue",116
AZ-2011-6712797,2011-01-11,Evie Flockhart,Italy,South,Office Supplies,Binders,"Ibico Hole Reinforcements, Recycled",22
AZ-2011-4827146,2011-01-11,Faith Greenwood,Austria,Central,Office Supplies,Art,"Boston Canvas, Fluorescent",55
AZ-2011-4827146,2011-01-11,Faith Greenwood,Austria,Central,Office Supplies,Storage,"Smead Trays, Single Width",97
AZ-2011-6439906,2011-01-11,Summer Hayward,Spain,South,Furniture,Tables,"Bevis Training Table, with Bottom Storage",268
AZ-2011-6439906,2011-01-11,Summer Hayward,Spain,South,Office Supplies,Labels,"Novimex File Folder Labels, Alphabetical",40
AZ-2011-7053593,2011-01-11,Gracie Powell,United Kingdom,North,Furniture,Chairs,"SAFCO Executive Leather Armchair, Red",1384
AZ-2011-7053593,2011-01-11,Gracie Powell,United Kingdom,North,Office Supplies,Art,"Binney & Smith Canvas, Blue",103
AZ-2011-5702370,2011-01-12,Hershel Snyder,Germany,Central,Furniture,Bookcases,"Ikea Stackable Bookrack, Traditional",552
AZ-2011-5702370,2011-01-12,Hershel Snyder,Germany,Central,Office Supplies,Art,"Binney & Smith Canvas, Blue",257
AZ-2011-5702370,2011-01-12,Hershel Snyder,Germany,Central,Office Supplies,Binders,"Ibico Index Tab, Clear",17
AZ-2011-5702370,2011-01-12,Hershel Snyder,Germany,Central,Technology,Machines,"Epson Printer, White",522
AZ-2011-9927716,2011-01-12,Julia Martell,United Kingdom,North,Furniture,Chairs,"Hon Chairmat, Adjustable",290
AZ-2011-2222024,2011-01-12,Viola Watson,United Kingdom,North,Office Supplies,Paper,"Green Bar Note Cards, Multicolor",34
BN-2011-4913858,2011-01-13,Julian Dobie,Netherlands,Central,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Durable",9
BN-2011-4913858,2011-01-13,Julian Dobie,Netherlands,Central,Office Supplies,Labels,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",22
BN-2011-4913858,2011-01-13,Julian Dobie,Netherlands,Central,Office Supplies,Paper,"Green Bar Cards & Envelopes, Multicolor",50
BN-2011-4913858,2011-01-13,Julian Dobie,Netherlands,Central,Office Supplies,Storage,"Smead Lockers, Blue",198
BN-2011-2807470,2011-01-13,Rose Heap,Sweden,North,Office Supplies,Art,"Sanford Pens, Fluorescent",31
AZ-2011-5960662,2011-01-14,Ella Troy,Austria,Central,Office Supplies,Paper,"Xerox Message Books, Premium",224
AZ-2011-5960662,2011-01-14,Ella Troy,Austria,Central,Technology,Machines,"StarTech Card Printer, White",486
AZ-2011-5960662,2011-01-14,Ella Troy,Austria,Central,Technology,Phones,"Apple Headset, with Caller ID",440
AZ-2011-7675351,2011-01-15,Everett Dunbar,Germany,Central,Office Supplies,Appliances,"Cuisinart Microwave, White",249
AZ-2011-7675351,2011-01-15,Everett Dunbar,Germany,Central,Office Supplies,Labels,"Harbour Creations Removable Labels, 5000 Label Set",21
AZ-2011-7675351,2011-01-15,Everett Dunbar,Germany,Central,Office Supplies,Paper,"Green Bar Computer Printout Paper, 8.5 x 11",170
AZ-2011-7675351,2011-01-15,Everett Dunbar,Germany,Central,Office Supplies,Supplies,"Elite Letter Opener, Easy Grip",55
AZ-2011-7675351,2011-01-15,Everett Dunbar,Germany,Central,Technology,Copiers,"Hewlett Copy Machine, Laser",527
BN-2011-3770060,2011-01-17,Georgia Bermingham,Denmark,North,Office Supplies,Labels,"Hon Shipping Labels, Laser Printer Compatible",17
AZ-2011-7419210,2011-01-18,Christopher Goold,Spain,South,Office Supplies,Fasteners,"Stockwell Thumb Tacks, Bulk Pack",108
AZ-2011-1816950,2011-01-18,John Baca,Denmark,North,Office Supplies,Binders,"Acco Binding Machine, Economy",26
AZ-2011-3059419,2011-01-19,Kai Leonard,Italy,South,Office Supplies,Envelopes,"GlobeWeis Business Envelopes, Recycled",48
AZ-2011-5342265,2011-01-19,Jennifer Mattingly,Italy,South,Office Supplies,Binders,"Wilson Jones Binding Machine, Clear",145
AZ-2011-5342265,2011-01-19,Jennifer Mattingly,Italy,South,Office Supplies,Storage,"Fellowes Folders, Blue",48
AZ-2011-2002251,2011-01-20,Nathan Iqbal,France,Central,Office Supplies,Art,"Boston Pencil Sharpener, Water Color",58
AZ-2011-5357101,2011-01-21,Noah Chamberlain,Germany,Central,Technology,Accessories,"Memorex Router, Programmable",495
AZ-2011-2245674,2011-01-22,Dylan Disney,Belgium,Central,Office Supplies,Binders,"Avery Index Tab, Clear",12
AZ-2011-2245674,2011-01-22,Dylan Disney,Belgium,Central,Office Supplies,Storage,"Tenex File Cart, Blue",666
AZ-2011-8034411,2011-01-22,Melissa Bean,Italy,South,Furniture,Bookcases,"Bush Classic Bookcase, Traditional",825
AZ-2011-8034411,2011-01-22,Melissa Bean,Italy,South,Office Supplies,Art,"Boston Canvas, Easy-Erase",54
AZ-2011-8034411,2011-01-22,Melissa Bean,Italy,South,Office Supplies,Storage,"Rogers Lockers, Single Width",889
AZ-2011-6684426,2011-01-24,Vaughn Gibbs,Italy,South,Office Supplies,Art,"Boston Markers, Fluorescent",28
BN-2011-7883641,2011-01-24,William Horton,Italy,South,Furniture,Chairs,"Harbour Creations Swivel Stool, Set of Two",73
BN-2011-7883641,2011-01-24,William Horton,Italy,South,Furniture,Chairs,"Office Star Bag Chairs, Set of Two",69
BN-2011-7883641,2011-01-24,William Horton,Italy,South,Office Supplies,Fasteners,"Advantus Staples, 12 Pack",41
BN-2011-7883641,2011-01-24,William Horton,Italy,South,Office Supplies,Labels,"Harbour Creations Color Coded Labels, Adjustable",54
BN-2011-7883641,2011-01-24,William Horton,Italy,South,Office Supplies,Paper,"SanDisk Memo Slips, Multicolor",55
AZ-2011-4205736,2011-01-25,David Harney,Germany,Central,Furniture,Furnishings,"Advantus Light Bulb, Duo Pack",20
AZ-2011-4205736,2011-01-25,David Harney,Germany,Central,Office Supplies,Binders,"Cardinal Binder, Clear",133
